Date,IVVB11,Date,BOVA11
12/29/2016 16:56:00,75.96,12/29/2016 16:56:00,58.24
1/2/2017 16:56:00,78.64,1/2/2017 16:56:00,57.63
1/3/2017 16:56:00,76.25,1/3/2017 16:56:00,59.75
1/4/2017 16:56:00,75.94,1/4/2017 16:56:00,59.75
1/5/2017 16:56:00,75.26,1/5/2017 16:56:00,60.05
1/6/2017 16:56:00,76.3,1/6/2017 16:56:00,59.85
1/9/2017 16:56:00,75.44,1/9/2017 16:56:00,59.74
1/10/2017 16:56:00,75.24,1/10/2017 16:56:00,60.25
1/11/2017 16:56:00,75.29,1/11/2017 16:56:00,60.47
1/12/2017 16:56:00,75.1,1/12/2017 16:56:00,62
1/13/2017 16:56:00,75.84,1/13/2017 16:56:00,61.68
1/16/2017 16:56:00,76.93,1/16/2017 16:56:00,61.9
1/17/2017 16:56:00,75.51,1/17/2017 16:56:00,62.28
1/18/2017 16:56:00,75.81,1/18/2017 16:56:00,61.9
1/19/2017 16:56:00,75.25,1/19/2017 16:56:00,62.1
1/20/2017 16:56:00,74.8,1/20/2017 16:56:00,62.57
1/23/2017 16:56:00,74.33,1/23/2017 16:56:00,63.8
1/24/2017 16:56:00,75.03,1/24/2017 16:56:00,63.91
1/26/2017 16:56:00,75.8,1/26/2017 16:56:00,64.2
1/27/2017 16:56:00,74.81,1/27/2017 16:56:00,64.01
1/30/2017 16:56:00,73.92,1/30/2017 16:56:00,62.26
1/31/2017 16:56:00,74.36,1/31/2017 16:56:00,62.39
2/1/2017 16:56:00,74.04,2/1/2017 16:56:00,62.71
2/2/2017 16:56:00,73.83,2/2/2017 16:56:00,62.65
2/3/2017 16:56:00,74.44,2/3/2017 16:56:00,63.09
2/6/2017 16:56:00,74.23,2/6/2017 16:56:00,62.01
2/7/2017 16:56:00,74.37,2/7/2017 16:56:00,62.01
2/8/2017 16:56:00,74.31,2/8/2017 16:56:00,62.87
2/9/2017 16:56:00,75.11,2/9/2017 16:56:00,62.83
2/10/2017 16:56:00,74.9,2/10/2017 16:56:00,63.99
2/13/2017 16:56:00,75.21,2/13/2017 16:56:00,64.68
2/14/2017 16:56:00,74.82,2/14/2017 16:56:00,65.05
2/15/2017 16:56:00,74.68,2/15/2017 16:56:00,65.85
2/16/2017 16:56:00,75.27,2/16/2017 16:56:00,65.6
2/17/2017 16:56:00,75.5,2/17/2017 16:56:00,65.42
2/20/2017 16:56:00,75.99,2/20/2017 16:56:00,66.35
2/21/2017 16:56:00,76.25,2/21/2017 16:56:00,66.89
2/22/2017 16:56:00,75.28,2/22/2017 16:56:00,66.48
2/23/2017 16:56:00,75.2,2/23/2017 16:56:00,65.32
2/24/2017 16:56:00,76.45,2/24/2017 16:56:00,64.5
3/1/2017 16:56:00,77.15,3/1/2017 16:56:00,64.83
3/2/2017 16:56:00,78.19,3/2/2017 16:56:00,63.5
3/3/2017 16:56:00,77.4,3/3/2017 16:56:00,64.6
3/6/2017 16:56:00,77.69,3/6/2017 16:56:00,64.2
3/7/2017 16:56:00,76.7,3/7/2017 16:56:00,63.82
3/8/2017 16:56:00,78.04,3/8/2017 16:56:00,62.63
3/9/2017 16:56:00,78.76,3/9/2017 16:56:00,62.37
3/10/2017 16:56:00,77.65,3/10/2017 16:56:00,62.55
3/13/2017 16:56:00,77.83,3/13/2017 16:56:00,63.47
3/14/2017 16:56:00,78.16,3/14/2017 16:56:00,62.75
3/15/2017 16:56:00,77.4,3/15/2017 16:56:00,64.11
3/16/2017 16:56:00,77.3,3/16/2017 16:56:00,63.42
3/17/2017 16:56:00,76.95,3/17/2017 16:56:00,62.21
